name,display_name,is_active
Asia/Barnaul,Asia/Barnaul (GMT+7),true
Asia/Beirut,Asia/Beirut (GMT+2),true
Asia/Bishkek,Asia/Bishkek (GMT+6),true
Asia/Brunei,Asia/Brunei (GMT+8),true
Asia/Chita,Asia/Chita (GMT+9),true
Asia/Choibalsan,Asia/Choibalsan (GMT+8),true
Asia/Colombo,Asia/Colombo (GMT+5:30),true
Asia/Damascus,Asia/Damascus (GMT+2),true
Asia/Dhaka,Asia/Dhaka (GMT+6),true
Asia/Dili,Asia/Dili (GMT+9),true
Asia/Dubai,Asia/Dubai (GMT+4),true
Asia/Dushanbe,Asia/Dushanbe (GMT+5),true
Asia/Famagusta,Asia/Famagusta (GMT+2),true
Asia/Gaza,Asia/Gaza (GMT+2),true
Asia/Hebron,Asia/Hebron (GMT+2),true
Asia/Ho_Chi_Minh,Asia/Ho_Chi_Minh (GMT+7),true
Asia/Hong_Kong,Asia/Hong_Kong (GMT+8),true
Asia/Hovd,Asia/Hovd (GMT+7),true
Asia/Irkutsk,Asia/Irkutsk (GMT+8),true
Asia/Jakarta,Asia/Jakarta (GMT+7),true
Asia/Jayapura,Asia/Jayapura (GMT+9),true
Asia/Jerusalem,Asia/Jerusalem (GMT+2),true
Asia/Kabul,Asia/Kabul (GMT+4:30),true
Asia/Kamchatka,Asia/Kamchatka (GMT+12),true
Asia/Karachi,Asia/Karachi (GMT+5),true
Asia/Kathmandu,Asia/Kathmandu (GMT+5:45),true
Asia/Khandyga,Asia/Khandyga (GMT+9),true
Asia/Kolkata,Asia/Kolkata (GMT+5:30),true
Asia/Krasnoyarsk,Asia/Krasnoyarsk (GMT+7),true
Asia/Kuala_Lumpur,Asia/Kuala_Lumpur (GMT+8),true
Asia/Kuching,Asia/Kuching (GMT+8),true
Asia/Kuwait,Asia/Kuwait (GMT),true
Asia/Macau,Asia/Macau (GMT+8),true
Asia/Magadan,Asia/Magadan (GMT+11),true
Asia/Makassar,Asia/Makassar (GMT+8),true
Asia/Manila,Asia/Manila (GMT+8),true
Asia/Muscat,Asia/Muscat (GMT),true
Asia/Nicosia,Asia/Nicosia (GMT+2),true
Asia/Novokuznetsk,Asia/Novokuznetsk (GMT+7),true
Asia/Novosibirsk,Asia/Novosibirsk (GMT+7),true
Asia/Omsk,Asia/Omsk (GMT+6),true
Asia/Oral,Asia/Oral (GMT+5),true
Asia/Phnom_Penh,Asia/Phnom_Penh (GMT+7),true
Asia/Pontianak,Asia/Pontianak (GMT+7),true
Asia/Pyongyang,Asia/Pyongyang (GMT+9),true
Asia/Qatar,Asia/Qatar (GMT+3),true
Asia/Qostanay,Asia/Qostanay (GMT+6),true
Asia/Qyzylorda,Asia/Qyzylorda (GMT+5),true
Asia/Rangoon,Asia/Rangoon (GMT+6:30),true
Asia/Riyadh,Asia/Riyadh (GMT+3),true
Asia/Sakhalin,Asia/Sakhalin (GMT+11),true
Asia/Samarkand,Asia/Samarkand (GMT+5),true
Asia/Seoul,Asia/Seoul (GMT+9),true
Asia/Shanghai,Asia/Shanghai (GMT+8),true
Asia/Singapore,Asia/Singapore (GMT+8),true
Asia/Srednekolymsk,Asia/Srednekolymsk (GMT+11),true
Asia/Taipei,Asia/Taipei (GMT+8),true
Asia/Tashkent,Asia/Tashkent (GMT+5),true
Asia/Tbilisi,Asia/Tbilisi (GMT+4),true
Asia/Tehran,Asia/Tehran (GMT+3:30),true
Asia/Thimphu,Asia/Thimphu (GMT+6),true
Asia/Tokyo,Asia/Tokyo (GMT+9),true
Asia/Tomsk,Asia/Tomsk (GMT+7),true
Asia/Ulaanbaatar,Asia/Ulaanbaatar (GMT+8),true
Asia/Urumqi,Asia/Urumqi (GMT+6),true
Asia/Ust-Nera,Asia/Ust-Nera (GMT+10),true
Asia/Vientiane,Asia/Vientiane (GMT+7),true
Asia/Vladivostok,Asia/Vladivostok (GMT+10),true
Asia/Yakutsk,Asia/Yakutsk (GMT+9),true
Asia/Yangon,Asia/Yangon (GMT+6:30),true
Asia/Yekaterinburg,Asia/Yekaterinburg (GMT+5),true
Asia/Yerevan,Asia/Yerevan (GMT+4),true
Atlantic/Azores,Atlantic/Azores (GMT-1),true
Atlantic/Bermuda,Atlantic/Bermuda (GMT-4),true
Atlantic/Canary,Atlantic/Canary (GMT),true
Atlantic/Cape_Verde,Atlantic/Cape_Verde (GMT-1),true
Atlantic/Faroe,Atlantic/Faroe (GMT),true
Atlantic/Madeira,Atlantic/Madeira (GMT),true
Atlantic/Reykjavik,Atlantic/Reykjavik (GMT),true
Atlantic/South_Georgia,Atlantic/South_Georgia (GMT-2),true
Atlantic/St_Helena,Atlantic/St_Helena (GMT),true
Atlantic/Stanley,Atlantic/Stanley (GMT-3),true
Australia/Adelaide,Australia/Adelaide (GMT+9:30),true
Australia/Brisbane,Australia/Brisbane (GMT+10),true
Australia/Broken_Hill,Australia/Broken_Hill (GMT+9:30),true
Australia/Currie,Australia/Currie (GMT+10),true
Australia/Darwin,Australia/Darwin (GMT+9:30),true
Australia/Eucla,Australia/Eucla (GMT+8:45),true
Australia/Hobart,Australia/Hobart (GMT+10),true
Australia/Lindeman,Australia/Lindeman (GMT+10),true
Australia/Lord_Howe,Australia/Lord_Howe (GMT+10:30),true
Australia/Melbourne,Australia/Melbourne (GMT+10),true
Australia/Perth,Australia/Perth (GMT+8),true
Australia/Sydney,Australia/Sydney (GMT+10),true
Europe/Amsterdam,Europe/Amsterdam (GMT+1),true
Europe/Andorra,Europe/Andorra (GMT+1),true
Europe/Astrakhan,Europe/Astrakhan (GMT+4),true
Europe/Athens,Europe/Athens (GMT+2),true
Europe/Belgrade,Europe/Belgrade (GMT+1),true
Europe/Berlin,Europe/Berlin (GMT+1),true
Europe/Bratislava,Europe/Bratislava (GMT),true
Europe/Brussels,Europe/Brussels (GMT+1),true
Europe/Bucharest,Europe/Bucharest (GMT+2),true
Europe/Budapest,Europe/Budapest (GMT+1),true
Europe/Busingen,Europe/Busingen (GMT+1),true
Europe/Chisinau,Europe/Chisinau (GMT+2),true
Europe/Copenhagen,Europe/Copenhagen (GMT+1),true
Europe/Dublin,Europe/Dublin (GMT),true
